,city,lat,temp_max,lon,country,clouds,wind speed,humidity
160,Hunterville,-39.93,61.0,175.57,NZ,1,5.99,68
161,Taltal,-25.4,63.7,-70.48,CL,65,3.96,76
162,Bloemfontein,-29.12,51.8,26.21,ZA,0,8.05,81
163,Viradouro,-20.87,77.0,-48.3,BR,36,3.36,47
164,Shimoda,34.67,60.01,138.95,JP,0,5.86,65
165,Paamiut,61.99,36.82,-49.67,GL,0,25.52,78
166,Saint-François,46.42,55.4,3.91,FR,100,5.82,76
167,Boden,65.83,32.0,21.69,SE,56,2.24,96
168,Chokurdakh,70.63,14.27,147.92,RU,98,2.3,95
169,Boundiali,9.52,79.3,-6.49,CI,100,8.68,48
170,Isangel,-19.55,82.4,169.27,VU,75,14.56,78
171,Kalmunai,7.42,81.88,81.82,LK,94,1.5,78
172,Kavieng,-2.57,78.58,150.8,PG,100,7.43,90
173,Talnakh,69.49,14.0,88.4,RU,90,17.9,92
174,Hambantota,6.12,80.87,81.12,LK,69,7.25,83
175,Roald,62.58,45.0,6.13,NO,71,8.05,87
176,Grindavik,63.84,42.8,-22.43,IS,18,16.11,75
177,Aldan,58.6,27.5,125.39,RU,98,3.47,82
178,Havre-St-Pierre,50.23,50.0,-63.6,CA,1,10.29,37
179,Lagoa,39.05,63.3,-27.98,PT,79,27.42,92
180,Joshīmath,30.57,50.31,79.57,IN,22,5.59,20
181,Ciudad Bolivar,8.12,96.85,-63.55,VE,21,8.66,18
182,Vostok,46.49,47.61,135.88,RU,18,6.85,44
183,Norman Wells,65.28,21.2,-126.83,CA,90,20.8,85
184,Faya,18.39,68.0,42.45,SA,75,4.09,77
185,Jiaozuo,35.24,70.84,113.23,CN,48,4.94,36
186,Aragarças,-15.9,72.14,-52.25,BR,0,1.43,64
187,Leningradskiy,69.38,23.77,178.42,RU,11,3.49,90
188,Narsaq,60.92,44.6,-46.05,GL,0,6.93,39
189,Pitimbu,-7.47,82.4,-34.81,BR,20,8.05,78
190,Morón,-34.65,66.99,-58.62,AR,0,7.4,100
191,Arman',59.7,29.21,150.17,RU,86,3.49,94
192,Vardø,70.37,26.6,31.11,NO,75,11.41,73
193,Gurupá,-1.41,77.43,-51.64,BR,100,2.28,93
194,Saint-Philippe,-21.36,73.4,55.77,RE,90,6.93,69
195,Tautira,-17.73,86.0,-149.15,PF,72,11.41,79
196,Aksarayskiy,46.79,50.0,48.01,RU,0,4.47,71
197,Esperance,-33.87,53.6,121.9,AU,90,3.36,66
198,Yoichi,43.2,41.0,140.77,JP,20,5.82,86
199,Ponta do Sol,32.67,66.2,-17.1,PT,75,4.7,72
200,Ardmore,34.17,73.4,-97.14,US,1,16.11,26
201,Letlhakane,-21.42,62.6,25.58,BW,2,8.48,22
202,Tegul'det,57.31,50.92,88.17,RU,100,14.63,81
203,Provideniya,64.38,23.0,-173.3,RU,90,8.95,79
204,Qingyuan,23.7,78.01,113.03,CN,84,4.47,78
205,Kirkwall,58.98,44.01,-2.96,GB,8,11.41,81
206,Kieta,-6.22,84.65,155.63,PG,63,3.4,68
207,Moissac,44.1,61.0,1.09,FR,100,8.05,87
208,Galeana,24.83,77.0,-100.07,MX,50,11.01,32
209,Rome,43.21,62.6,-75.46,US,75,21.92,42
210,Lewisporte,49.25,39.99,-55.05,CA,90,21.92,69
211,Cidreira,-30.18,68.95,-50.21,BR,56,5.59,79
212,Kassala,15.45,83.3,36.4,SD,100,12.46,14
213,Balakhninskiy,58.01,39.7,114.28,RU,100,2.46,76
214,Forsytheganj,52.63,44.89,29.73,BY,99,8.28,86
215,Los Llanos de Aridane,28.66,66.2,-17.92,ES,20,8.05,72
216,Sunrise Manor,36.21,96.8,-115.07,US,1,5.82,12
217,São João da Barra,-21.64,75.2,-41.05,BR,29,6.93,78
218,Porto Empedocle,37.29,55.99,13.53,IT,0,1.99,100
219,Hervey Bay,-25.3,69.01,152.85,AU,100,5.99,85
220,Cabinda,-5.55,78.6,12.2,AO,90,5.21,90
221,Hirara,24.8,68.0,125.28,JP,40,5.82,88
222,Skjervøy,70.03,30.11,20.97,NO,0,16.42,90
223,Aseri,59.45,34.75,26.87,EE,0,6.49,86
224,Walvis Bay,-22.96,55.4,14.51,NA,0,3.36,87
225,Wanaka,-44.7,50.09,169.15,NZ,100,6.85,53
226,Ixtapa,20.7,84.2,-105.2,MX,5,11.41,54
227,Kaeo,-35.1,63.0,173.78,NZ,97,9.42,90
228,Conceição do Araguaia,-8.26,86.0,-49.26,BR,40,3.36,62
229,Pisco,-13.7,75.2,-76.22,PE,0,4.7,57
230,Ancud,-41.87,55.99,-73.82,CL,75,9.17,93
231,Port Moresby,-9.44,78.96,147.18,PG,80,3.6,84
232,Ürümqi,43.8,66.2,87.6,CN,0,6.71,52
233,Muhos,64.81,32.0,25.99,FI,26,5.82,97
234,Ambilobe,-13.2,71.92,49.05,MG,55,4.68,87
235,Dikson,73.51,19.29,80.55,RU,100,5.48,95
236,Saint George,37.1,93.0,-113.58,US,1,0.38,14
237,Manche,49.0,48.0,-1.17,FR,100,5.01,47
238,Rosarito,32.33,73.0,-117.03,MX,1,5.82,68
239,Sijunjung,-0.69,72.36,100.95,ID,100,1.52,87
240,Moose Factory,51.26,50.0,-80.61,CA,1,11.41,37
241,Laas,46.62,41.0,10.7,IT,40,3.36,75
242,Bandarbeyla,9.49,83.44,50.81,SO,90,14.12,80
243,Alice Springs,-23.7,53.6,133.88,AU,10,11.41,46
244,Juiz de Fora,-21.76,64.4,-43.35,BR,20,3.36,68
245,Mil'kovo,54.72,36.09,158.62,RU,2,3.31,68
246,Tommot,58.96,30.6,126.29,RU,67,5.82,85
247,Itapora,-22.08,77.36,-54.79,BR,100,5.99,49
248,Barabai,-2.58,73.67,115.38,ID,33,1.72,94
249,Nanortalik,60.14,36.18,-45.24,GL,0,9.35,83
250,Mildura,-34.2,48.2,142.15,AU,90,6.93,100
251,Petatlán,17.52,87.8,-101.27,MX,40,11.41,55
252,Weihai,37.5,55.06,122.11,CN,0,16.71,88
253,Petropavlovsk-Kamchatskiy,53.05,41.0,158.65,RU,0,17.9,38
254,Port-Cartier,50.03,46.4,-66.87,CA,20,5.82,45
255,Ulladulla,-35.35,55.99,150.47,AU,75,4.7,93
256,Pangnirtung,66.15,24.8,-65.71,CA,20,4.7,62
257,Ahipara,-35.17,63.43,173.17,NZ,44,8.1,66
258,Oskarshamn,57.26,35.01,16.45,SE,95,2.24,81
259,Yangi Marg`ilon,40.43,60.8,71.72,UZ,90,11.41,67
260,Bilma,18.69,88.47,12.92,NE,0,2.21,11
261,Altay,47.87,58.42,88.12,CN,71,3.4,42
262,Nivala,63.92,28.99,24.97,FI,75,1.01,75
263,Scarborough,54.28,48.0,-0.4,GB,100,6.8,94
264,Puerto Suárez,-18.95,84.2,-57.8,BO,75,3.36,58
265,Karratha,-20.74,75.34,116.85,AU,33,18.99,27
266,Price,39.6,75.2,-110.81,US,1,4.7,16
267,Sitka,57.05,42.8,-135.33,US,90,12.75,87
268,Coquimbo,-29.95,60.8,-71.34,CL,40,11.41,82
269,Nagornyy,52.8,57.2,83.55,RU,99,13.42,62
270,Tuatapere,-46.13,55.06,167.68,NZ,100,10.47,68
271,Ust-Nera,64.57,25.29,143.2,RU,84,6.13,89
272,Beloha,-25.17,71.64,45.05,MG,14,4.47,76
273,Kharp,66.8,17.65,65.81,RU,86,14.25,92
274,Necochea,-38.55,57.99,-58.74,AR,68,11.99,87
275,Pevek,69.7,18.68,170.31,RU,61,14.97,92
276,Bariadi,-2.8,64.42,33.98,TZ,10,4.76,64
277,Scottsboro,34.67,62.6,-86.03,US,90,9.17,100
278,Saldanha,-33.01,55.4,17.94,ZA,1,4.7,58
279,Athabasca,54.72,65.5,-113.29,CA,7,9.01,24
280,Neftegorsk,52.8,51.06,51.17,RU,100,22.68,53
281,Lufilufi,-13.87,84.2,-171.6,WS,75,10.29,79
282,Sisimiut,66.94,35.51,-53.67,GL,0,7.29,77
283,Berlevåg,70.86,23.0,29.09,NO,54,11.41,67
284,San Patricio,19.22,82.4,-104.7,MX,5,17.22,74
285,Katobu,-4.94,74.03,122.53,ID,100,1.81,84
286,Chake Chake,-5.25,77.13,39.77,TZ,100,8.46,91
287,Maniitsoq,65.42,34.74,-52.9,GL,0,6.38,83
288,Langarūd,37.2,55.4,50.15,IR,90,2.24,100
289,Nouadhibou,20.93,68.0,-17.03,MR,69,16.11,72
290,Weligama,5.97,79.12,80.42,LK,100,1.34,84
291,Itarema,-2.92,78.96,-39.92,BR,100,8.9,84
292,Aligoodarz,33.4,48.96,49.69,IR,91,1.21,41
293,Bud,39.45,59.0,-86.18,US,90,8.05,67
294,Halden,59.12,42.8,11.39,NO,100,11.41,45
295,Mackenzie,55.3,51.8,-123.17,CA,1,4.7,37
296,Yerbogachën,61.28,32.27,108.01,RU,100,6.98,84
297,Padang,-0.95,76.96,100.35,ID,100,5.88,87
298,Bitung,1.45,75.2,125.18,ID,20,1.41,88
299,Saint Paul Harbor,57.79,50.0,-152.41,US,1,9.17,46
300,Erzin,36.96,64.0,36.2,TR,78,1.5,89
301,Iowa City,41.66,55.4,-91.53,US,90,17.22,62
302,Licata,37.11,55.99,13.95,IT,0,2.24,93
303,Jaroměř,50.36,53.01,15.92,CZ,95,2.64,88
304,Ladan,50.52,51.1,32.58,UA,44,11.88,74
305,Istok,42.78,59.0,20.49,XK,40,18.34,54
306,Esim,4.87,80.35,-2.24,GH,86,7.29,81
307,San Luis,-33.3,62.01,-66.34,AR,0,5.7,40
308,Mayo,38.89,72.0,-76.51,US,1,5.82,77
309,Iquitos,-3.75,87.8,-73.25,PE,40,4.7,66
310,Lompoc,34.64,63.0,-120.46,US,75,12.75,82
311,Asău,46.43,53.01,26.4,RO,88,5.1,77
312,Salinópolis,-0.61,80.02,-47.36,BR,99,11.41,85
313,Henties Bay,-22.12,65.75,14.28,NA,0,5.61,70
314,Coruripe,-10.13,77.61,-36.18,BR,100,7.61,83
315,Laguna,38.42,77.0,-121.42,US,1,10.29,47
316,Jiangyou,31.77,66.04,104.72,CN,100,3.49,43
317,Xiuyan,40.29,49.41,123.27,CN,99,8.3,84
318,Salta,-24.79,62.6,-65.41,AR,85,6.93,63
319,Jacareacanga,-6.22,77.45,-57.75,BR,95,2.42,93
320,Shakawe,-18.37,67.17,21.85,BW,12,1.52,36
321,Melo,-32.37,58.01,-54.18,UY,0,9.4,63
