,city,lat,temp_max,lon,country,clouds,wind speed,humidity
419,Lüderitz,-26.65,60.8,15.16,NA,0,2.24,82
420,Kruisfontein,-34.0,55.13,24.73,ZA,0,3.51,49
421,Port-Gentil,-0.72,82.4,8.78,GA,40,6.93,88
422,Kirakira,-10.45,84.88,161.92,SB,96,5.28,71
423,Jerez,14.1,93.2,-89.75,GT,40,6.11,44
424,Shenjiamen,29.96,63.54,122.3,CN,1,18.03,88
425,Koslan,63.46,33.39,48.9,RU,100,4.25,93
426,Klyuchevskiy,53.53,42.28,119.45,RU,47,3.06,45
427,Naze,28.37,60.8,129.48,JP,20,4.7,82
428,Winnemucca,40.97,87.8,-117.74,US,1,9.17,14
429,Torbay,47.67,34.0,-52.73,CA,75,24.16,74
430,Port Keats,-14.25,79.02,129.55,AU,5,2.95,71
431,Yumen,40.28,55.08,97.2,CN,0,0.65,16
432,Acajutla,13.59,93.2,-89.83,SV,40,8.3,44
433,Praia,14.92,82.4,-23.51,CV,40,18.34,54
434,Chilca,-12.52,69.8,-76.74,PE,0,9.17,77
435,Solnechnyy,50.72,51.21,136.63,RU,97,6.04,51
436,Chisec,15.82,96.3,-90.28,GT,28,3.31,34
437,Faanui,-16.48,82.09,-151.75,PF,100,2.68,70
438,Naryan-Mar,67.67,21.22,53.09,RU,98,14.67,97
439,Zyryanka,65.75,28.94,150.85,RU,96,6.13,96
440,Tortolì,39.93,62.6,9.66,IT,5,9.17,45
441,Rocha,-34.48,57.72,-54.33,UY,0,11.25,66
442,Sandwich,41.65,48.2,-88.62,US,90,17.22,87
443,Biltine,14.53,87.85,20.92,TD,6,9.89,10
444,Kaitangata,-46.28,48.99,169.85,NZ,79,10.0,69
445,Porto-Novo,6.5,80.6,2.6,BJ,20,5.82,88
446,Avera,33.19,78.8,-82.53,US,75,9.17,47
447,Nong’an,44.38,46.4,125.17,CN,99,6.71,81
448,Zarand,30.81,61.11,56.56,IR,65,7.47,33
449,Port Macquarie,-31.43,70.0,152.92,AU,83,1.01,81
450,Sirte,31.21,70.3,16.59,LY,2,23.4,60
451,Vilyuysk,63.76,27.5,121.62,RU,0,4.09,94
452,Uvarovka,55.53,32.65,35.61,RU,3,6.17,85
453,Orzesze,50.16,57.99,18.78,PL,99,5.46,83
454,Hualmay,-11.1,71.56,-77.61,PE,3,7.72,68
455,Erbil,36.19,64.4,44.01,IQ,94,4.7,52
456,Kovdor,67.57,22.95,30.48,RU,24,3.22,95
457,Philadelphia,39.95,61.0,-75.16,US,90,19.46,55
458,Izazi,-7.2,66.2,35.73,TZ,75,2.82,77
459,Salinas,36.68,64.4,-121.66,US,1,13.87,63
460,Kuching,1.55,77.0,110.33,MY,20,1.12,94
461,Taoudenni,22.68,92.59,-3.98,ML,42,11.36,13
462,Mānpur,22.43,84.61,75.62,IN,60,4.68,17
463,Kulhudhuffushi,6.62,84.9,73.07,MV,57,7.76,72
464,Riachão do Jacuípe,-11.81,71.29,-39.39,BR,43,7.31,80
465,Vygonichi,53.1,45.77,34.07,RU,99,2.95,85
466,Steamboat Springs,40.48,68.0,-106.83,US,1,5.82,18
467,Sarāhan,31.52,49.06,77.8,IN,60,5.46,28
468,Águilas,37.41,63.0,-1.58,ES,17,4.0,54
469,Richards Bay,-28.78,66.9,32.04,ZA,100,3.31,77
470,Stromness,58.97,44.01,-3.3,GB,6,11.41,81
471,Cabo San Lucas,22.89,91.4,-109.91,MX,5,10.29,22
472,Aktash,50.3,40.17,87.73,RU,75,2.84,48
473,Pochutla,15.74,93.2,-96.47,MX,75,11.41,46
474,Banda Aceh,5.56,80.49,95.32,ID,100,9.71,80
475,Krasnoarmiys'k,48.28,44.96,37.18,UA,0,7.18,60
476,Roswell,34.02,68.0,-84.36,US,90,8.05,93
477,Kiunga,-6.12,74.8,141.29,PG,100,1.25,97
478,Athens,37.98,66.99,23.72,GR,20,7.99,63
479,Mogok,22.92,60.37,96.5,MM,90,1.7,74
480,Pemba,-12.97,78.82,40.52,MZ,97,11.86,86
481,Vilcún,-38.65,60.8,-72.23,CL,75,5.82,67
482,Gizo Government Station,-8.1,84.49,156.84,SB,13,5.28,73
483,Ouésso,1.61,77.29,16.05,CG,35,2.46,62
484,La Romana,18.43,87.8,-68.97,DO,40,13.87,58
485,Shurugwi,-19.67,61.88,30.01,ZW,79,2.66,46
486,Kholtoson,50.3,51.82,103.31,RU,64,4.65,43
487,Aksay,47.26,51.01,39.87,RU,0,2.24,57
488,Shache,38.42,66.16,77.24,CN,49,3.22,15
489,Lafiagi,8.87,79.57,5.42,NG,78,5.7,75
490,Betanzos,43.28,55.0,-8.21,ES,100,8.05,87
491,Senhor do Bonfim,-10.46,68.79,-40.19,BR,94,6.78,74
492,Derzhavīnsk,51.1,43.77,66.32,KZ,18,14.76,64
493,Buy,58.48,35.13,41.53,RU,100,6.33,94
494,Port Hueneme,34.15,66.2,-119.2,US,90,14.99,77
495,Severo-Yeniseyskiy,60.37,43.23,93.04,RU,100,6.69,81
496,Waingapu,-9.66,75.45,120.26,ID,25,6.98,79
497,Vanimo,-2.67,79.93,141.3,PG,79,4.79,81
498,Verkhoyansk,67.54,21.06,133.38,RU,100,7.29,93
499,Ponta Delgada,37.73,62.6,-25.67,PT,40,13.87,88
500,Alto Araguaia,-17.31,70.09,-53.22,BR,19,4.85,61
501,Aswān,24.09,72.97,32.91,EG,0,11.68,21
502,Opuwo,-18.06,66.58,13.84,NA,0,3.58,35
503,Marawi,8.0,75.0,124.29,PH,78,7.0,86
504,Arrondissement de Beauvais,49.42,48.2,2.0,FR,90,5.82,93
505,Ţahţā,26.77,73.4,31.5,EG,0,8.05,27
506,Rondonópolis,-16.47,75.34,-54.64,BR,0,2.24,58
507,Trairi,-3.28,78.57,-39.27,BR,97,6.04,86
508,Sinnamary,5.38,77.09,-52.95,GF,100,11.48,90
509,Nome,64.5,27.0,-165.41,US,20,5.82,86
510,Kawalu,-7.38,72.36,108.21,ID,100,0.63,83
511,Östersund,63.18,35.6,14.64,SE,75,16.11,55
512,Jilib,0.49,79.16,42.79,SO,100,5.73,84
513,Buckingham,52.0,48.0,-0.99,GB,100,1.01,77
514,Tatarsk,55.22,50.11,75.98,RU,25,8.79,79
515,Tarakan,3.3,79.81,117.63,ID,63,3.98,80
516,Quatre Cocos,-20.21,75.99,57.76,MU,75,16.11,83
517,Patiya,22.29,72.01,91.98,BD,12,4.05,92
518,Reyes,-14.32,77.49,-67.38,BO,100,1.16,89
519,Beidao,34.57,56.82,105.89,CN,100,1.01,37
520,Waipawa,-41.41,60.01,175.52,NZ,10,21.92,72
521,Gáldar,28.15,66.2,-15.65,ES,20,17.22,63
522,Glyadyanskoye,54.91,41.49,65.09,RU,33,8.21,70
523,Tamandaré,-8.76,78.26,-35.1,BR,25,7.29,83
524,Øksfjord,70.24,26.6,22.35,NO,1,9.17,73
525,Broome,42.25,57.99,-75.83,US,75,24.16,62
526,Jacmel,18.23,89.6,-72.53,HT,40,10.29,55
527,Serrinha,-11.66,69.15,-39.01,BR,54,9.44,85
528,Lumby,50.25,61.0,-118.97,CA,100,3.53,64
529,Villarrobledo,39.27,54.0,-2.6,ES,41,5.99,71
530,Semnan,35.57,58.14,53.4,IR,100,11.63,41
531,Rangpur City,25.75,75.52,89.25,BD,0,5.37,70
532,Partizanskoye,55.5,58.6,94.39,RU,67,26.08,55
533,Chapais,49.78,51.8,-74.85,CA,75,18.34,29
534,Bonavista,48.65,34.0,-53.11,CA,81,11.01,83
535,Pontypool,51.7,48.99,-3.04,GB,86,4.0,91
536,Tabou,4.42,80.8,-7.35,CI,81,5.64,85
537,Dutlwe,-23.98,56.71,23.9,BW,0,7.7,23
538,Vila,42.03,57.99,-8.16,PT,75,14.99,82
539,Ostrovnoy,68.05,28.15,39.51,RU,100,12.08,97
540,Kitimat,54.05,55.0,-128.65,CA,100,2.17,71
541,Killybegs,54.63,39.99,-8.45,IE,38,4.61,91
542,Vila Velha,-20.33,73.4,-40.29,BR,75,4.7,83
543,Kloulklubed,7.04,77.0,134.26,PW,90,6.93,94
544,Seminole,28.71,87.01,-81.21,US,1,18.34,51
545,Bereda,43.27,55.0,-7.54,ES,100,15.99,95
546,Biak,-0.91,78.1,122.88,ID,96,3.8,76
547,Grand Gaube,-20.01,75.99,57.66,MU,18,8.99,72
548,Guerrero Negro,27.98,72.27,-114.06,MX,2,14.9,50
549,Sur,22.57,88.18,59.53,OM,24,6.04,49
550,Temba,-25.38,54.0,28.26,ZA,0,1.12,100
551,Tiarei,-17.53,86.0,-149.33,PF,76,11.41,79
552,Barstow,34.9,96.8,-117.02,US,1,10.96,15
553,Koshurnikovo,54.17,55.06,93.3,RU,100,8.61,65
554,Liuhe,42.24,46.98,125.72,CN,100,9.89,60
555,Payo,-3.75,73.4,103.64,ID,99,0.94,94
556,Mitsamiouli,-11.38,82.47,43.28,KM,100,9.66,74
557,Bismil,37.85,51.8,40.67,TR,0,0.22,87
558,Saint-Leu,-21.15,73.4,55.28,RE,90,5.82,68
559,Hai’an,32.54,68.0,120.45,CN,62,1.01,89
560,Vangaindrano,-23.35,71.82,47.6,MG,89,6.49,88
561,Conakry,9.54,84.2,-13.68,GN,40,11.41,79
562,Tyshkivka,48.5,49.33,30.94,UA,0,12.44,77
563,Bulgan,48.81,55.78,103.53,MN,16,3.78,36
564,Mbandaka,0.05,76.53,18.26,CD,52,3.24,70
565,Singkang,2.1,78.8,102.8,MY,20,2.24,88
566,Birin,26.89,57.83,88.07,NP,32,4.38,46
567,Gladstone,-23.85,68.0,151.25,AU,34,5.82,88
568,Cairns,-16.92,71.6,145.77,AU,7,5.82,83
569,Mangaratiba,-22.96,77.0,-44.04,BR,0,5.82,69
570,Ifo,6.81,80.78,3.2,NG,37,6.55,80
571,Tshikapa,-6.42,73.17,20.8,CD,10,1.41,74
